danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.632,0.417,2,-8.972,1,0.0378,0.232,4.05e-05,0.166,0.145,135.919,audio_features,3JyxGOwtERPNSzbxPtq0OC,165616,4,0.286,0.848,0.098,0.341
0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,audio_features,5O2P9iiztwhomNh8xkR9lJ,226600,4,0.49,1.0,0.629,0.708
0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,audio_features,4cluDES4hQEUhmXj6TXkSo,199987,4,0.714,1.0,0.526,0.429
0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,audio_features,4nVBt6MZDDP6tRVdQTgxJg,245493,4,0.779,0.992,0.282,0.547
0.731,0.703,0,-5.672,0,0.0368,0.111,0.0,0.0657,0.595,138.111,audio_features,2K87XMYnUMqLcX3zvtAF4G,192120,4,0.763,1.0,0.351,0.444
0.648,0.822,11,-5.231,0,0.0749,0.0598,0.0,0.119,0.397,99.933,audio_features,3NLnwwAQbbFKcEcV8hDItk,230333,4,0.237,0.995,0.096,0.265
0.536,0.768,10,-5.948,0,0.0347,0.00433,0.0,0.114,0.545,77.217,audio_features,2Bs4jQEGMycglOfWPBqrVG,228133,4,0.064,1.0,0.829,0.63
0.645,0.78,8,-5.165,1,0.0319,0.218,0.0,0.0919,0.372,120.008,audio_features,1dQQ2QlnvXUehsRUrukKmf,200400,4,0.723,1.0,0.535,0.574
0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,audio_features,3JjnGLK8IxkNLvo8Lb3KOM,248360,4,0.857,1.0,0.171,0.47
0.652,0.877,1,-2.986,1,0.0465,0.0227,0.0,0.0789,0.486,118.491,audio_features,5T7ZFtCcOgkpjxcuaeZbw0,200107,4,0.666,1.0,0.881,0.903
0.574,0.329,1,-6.829,1,0.0274,0.22,0.0,0.0986,0.356,130.993,audio_features,2afCBiru10AFckfOa49wIa,237933,4,0.655,0.913,0.585,0.654
0.638,0.855,7,-4.86,1,0.0264,0.00757,0.0,0.245,0.731,127.986,audio_features,7221xIgOnuakPdLqT0F3nP,178206,4,0.868,0.975,0.179,0.455
0.492,0.673,6,-5.431,1,0.0347,0.413,0.0,0.137,0.488,203.812,audio_features,7K3BhSpAxZBznislvUMVtn,163855,4,0.184,0.901,0.45,0.612
